analyst     ˈænəlɪst
analytic     ˌænəˈlɪtɪk
analytical     ˌænəˈlɪtɪkl
analytically     ˌænəˈlɪtɪkli
analyze     ˈænəlaɪz
approachable     əˈproʊtʃəbl
assess     əˈses
assessable     əˈsesəbl
assessment     əˈsesmənt
assumed     əˈsuːmd
assuming     əˈsuːmɪŋ
assumption     əˈsʌmpʃn
authoritative     əˈθɔːrəteɪtɪv
authoritatively     əˈθɔːrəteɪtɪvli
availability     əˌveɪləˈbɪləti
beneficial     ˌbenɪˈfɪʃl
beneficiary     ˌbenɪˈfɪʃieri
blinker     ˈblɪŋkər
conception     kənˈsepʃn
conceptual     kənˈseptʃuəl
conceptualize     kənˈseptʃuəlaɪz
conceptually     kənˈseptʃuəli
consistency     kənˈsɪstənsi
consistent     kənˈsɪstənt
consistently     kənˈsɪstəntli
constituency     kənˈstɪtʃuənsi
constitute     ˈkɑːnstətuːt
constitution     ˌkɑːnstəˈtuːʃn
constitutive     ˈkɑːnstɪtuːtɪv
contextual     kənˈtekstʃuəl
contextualization     kənˌtekstʃuələˈzeɪʃn
contextualize     kənˈtekstʃuəlaɪz
contextually     kənˈtekstʃuəli
contractor     kənˈtræktər
creation     kriˈeɪʃn
creator     kriˈeɪtər
definable     dɪˈfaɪnəbl
derivation     ˌderɪˈveɪʃn
disestablish     ˌdɪsɪˈstæblɪʃ
disestablishment     ˌdɪsɪˈstæblɪʃmənt
dissimilar     dɪˈsɪmɪlər
dissimilarity     ˌdɪsɪmɪˈlærəti
distributional     ˌdɪstrɪˈbjuːʃənl
distributive     dɪˈstrɪbjətɪv
distributor     dɪˈstrɪbjətər
economical     ˌiːkəˈnɑːmɪkl
economically     ˌiːkəˈnɑːmɪkli
economics     ˌiːkəˈnɑːmɪks
economist     ɪˈkɑːnəmɪst
environmentalism     ɪnˌvaɪrənˈmentəlɪzəm
environmentalist     ɪnˌvaɪrənˈmentəlɪst
environmentally     ɪnˌvaɪrənˈmentəli
established     ɪˈstæblɪʃt
establishment     ɪˈstæblɪʃmənt
estimation     ˌestɪˈmeɪʃn
evident     ˈevɪdənt
evidential     ˌevɪˈdenʃl
evidently     ˈevɪdəntli
exporter     ekˈspɔːrtər
financially     faɪˈnænʃəli
financier     fəˈnænsiə 
formulate     ˈfɔːrmjuleɪt
formulation     ˌfɔːrmjuˈleɪʃn
functional     ˈfʌŋkʃənl
functionally     ˈfʌŋkʃənəli 
identifiable     aɪˌdentɪˈfaɪəbl
identification     aɪˌdentɪfɪˈkeɪʃn
identify     aɪˈdentɪfaɪ
identity     aɪˈdentəti
illegality     ˌɪliˈɡæləti
income     ˈɪnkʌm
inconsistency     ˌɪnkənˈsɪstənsi
inconsistent     ˌɪnkənˈsɪstənt
inconsistency     ˌɪnkənˈsɪstənsi
indicator     ˈɪndɪkeɪtər
indiscreet     ˌɪndɪˈskriːt
indiscreetly     ˌɪndɪˈskriːtli
individualism     ˌɪndɪˈvɪdʒuəlɪzəm
individualist     ˌɪndɪˈvɪdʒuəlɪst   
individuality     ˌɪndɪˌvɪdʒuˈæləti
individually     ˌɪndɪˈvɪdʒuəli
insignificance     ˌɪnsɪɡˈnɪfɪkəns
insignificant     ˌɪnsɪɡˈnɪfɪkənt
insignificance     ˌɪnsɪɡˈnɪfɪkəns
interpretable     ɪnˈtɜːrprɪtəbl
invariable     ɪnˈveriəbl
invariably     ɪnˈveriəbli
isolating     ˈaɪsəleɪtɪŋ
legality     liːˈɡæləti
legislate     ˈledʒɪsleɪt
legislation     ˌledʒɪsˈleɪʃn
legislative     ˈledʒɪsleɪtɪv
legislator     ˈledʒɪsleɪtər
legislature     ˈledʒɪsleɪtʃər
methodical     məˈθɑːdɪkl
methodically     məˈθɑːdɪkli
methodological     ˌmeθədəˈlɑːdʒɪkl 
methodology     ˌmeθəˈdɑːlədʒi
misinterpret     ˌmɪsɪnˈtɜːrprɪt
misinterpretation     ˌmɪsɪntɜːrprɪˈteɪʃn
occurrence     əˈkɜːrəns
percentage     pərˈsentɪdʒ
periodic     ˌpɪriˈɑːdɪk
periodical     ˌpɪriˈɑːdɪkl
periodically     ˌpɪriˈɑːdɪkli
principled     ˈprɪnsəpld
procedural     prəˈsiːdʒərəl
proceeding     prəˈsiːdɪŋ
proceeds     ˈproʊsiːdz
reassess     ˌriːəˈses
reassessment     ˌriːəˈsesmənt
recreate     ˌriːkriˈeɪt
recreation     ˌriːkriˈeɪʃn
redefine     ˌriːdɪˈfaɪn
redefinition     ˌriːdefɪˈnɪʃn
redistribute     ˌriːdɪˈstrɪbjuːt
redistribution     ˌriːdɪstrɪˈbjuːʃn
reformulate     ˌriːˈfɔːrmjuleɪt
reformulation     ˌriːˌfɔːrmjuˈleɪʃn
reinterpret     ˌriːɪnˈtɜːrprɪt
reinterpretation     ˌriːɪnˌtɜːrprɪˈteɪʃn
reoccur     ˌriːəˈkɜːr
respondent     rɪˈspɑːndənt
responsive     rɪˈspɑːnsɪv
responsively     rɪˈspɑːnsɪvli
restructure     ˌriːˈstrʌktʃər
restructuring     ˌriːˈstrʌktʃərɪŋ
significance     sɪɡˈnɪfɪkəns
signify     ˈsɪɡnɪfaɪ
similarity     ˌsɪməˈlærəti
specification     ˌspesɪfɪˈkeɪʃn
specificity     ˌspesɪˈfɪsəti
specifics     spəˈsɪfɪks
structural     ˈstrʌktʃərəl
structurally     ˈstrʌktʃərəli
theoretical     ˌθiːəˈretɪkl
theoretically     ˌθiːəˈretɪkli
theoretician     ˌθɪərəˈtɪʃn
theorist     ˈθiːərɪst
blinker     ˈblɪŋkər
unapproachable     ˌʌnəˈproʊtʃəbl
unavailability     ˌʌnəveɪləˈbɪləti
unavailable     ˌʌnəˈveɪləbl
unconstitutional     ˌʌnkɑːnstəˈtuːʃənl
unconstitutionally     ˌʌnkɑːnstəˈtuːʃənəli
undefined     ˌʌndɪˈfaɪnd
uneconomic     ˌʌnˌiːkəˈnɑːmɪk
uneconomical     ˌʌnˌiːkəˈnɑːmɪkl
unidentifiable     ˌʌnaɪˈdentɪfaɪəbl
uninvolved     ˌʌnɪnˈvɑːlvd
unprincipled     ʌnˈprɪnsəpld
unresponsive     ˌʌnrɪˈspɑːnsɪv
unstructured     ʌnˈstrʌktʃərd
variability     ˌveriəˈbɪləti
variance     ˈveriəns
variant     ˈveriənt
abnormal     æbˈnɔːrml
abnormally     æbˈnɔːrməli
achievable     əˈtʃiːvəbl
acquisition     ˌækwɪˈzɪʃn
admin     ˈædmɪn
administration     ədˌmɪnɪˈstreɪʃn
administrative     ədˈmɪnɪstreɪtɪv
administratively     ədˈmɪnɪstreɪtɪvli
administrator     ədˈmɪnɪstreɪtər
affective     əˈfektɪv
affectively     əˈfektɪvli
appropriacy     əˈproʊpriəsi
categorization     ˌkætəɡərəˈzeɪʃn
categorize     ˈkætəɡəraɪz
commissioner     kəˈmɪʃənər
complexity     kəmˈpleksəti
computable     kəmˈpjuːtəbl
computation     ˌkɑːmpjuˈteɪʃn
computational     ˌkɑːmpjuˈteɪʃənl
compute     kəmˈpjuːt
computing     kəmˈpjuːtɪŋ
conclusive     kənˈkluːsɪv
conclusively     kənˈkluːsɪvli
consequent     ˈkɑːnsəkwənt
consequently     ˈkɑːnsəkwentli
construction     
constructive     kənˈstrʌktɪv
constructively     kənˈstrʌktɪvli
consume     kənˈsuːm
consumption     kənˈsʌmpʃn
creditor     ˈkredɪtər
culturally     ˈkʌltʃərəli
cultured     ˈkʌltʃərd
restrictive     rɪˈstrɪktɪv
deregulate     ˌdiːˈreɡjuleɪt
deregulation     ˌdiːˌreɡjuˈleɪʃn
distinct     dɪˈstɪŋkt
distinction     dɪˈstɪŋkʃn
distinctive     dɪˈstɪŋktɪv
distinctively     dɪˈstɪŋktɪvli
distinctly     dɪˈstɪŋktli
equate     iˈkweɪt
equation     ɪˈkweɪʒn
evaluate     ɪˈvæljueɪt
evaluation     ɪˌvæljuˈeɪʃn
evaluation     ɪˌvæljuˈeɪʃn
finality     faɪˈnæləti
finalization     ˌfaɪnələˈzeɪʃn
finalize     ˈfaɪnəlaɪz
inappropriacy     ˌɪnəˈproʊpriəsi
inappropriate     
inappropriacy     
inappropriacy     
inconclusive     
inconclusively     
indistinct     
indistinctly     
injure     
injured     
injury     
insecure     
insecurely     
insecurely     
institution     
institutional     
institutionalization     
institutionalize     
institutionalized     
institutionally     
invest     
investment     
investor     
irrelevance     
irrelevancy     
irrelevant     
irrelevantly     
item     
itemize     
journal     
maintain     
